# CNS 11643 plane 19 (corresponding to the IRG/Unihan source prefix "T13-").
# This file includes both those listed as IRG sources in the Unihan database, and also those
#   withdrawn from IRG working sets as unifiable with existing characters.
#
0x3A2A	U+31D7D
0x3A2B	U+31D83
0x3A2C	U+31D89
0x3A2D	U+31D87
0x3A2E	U+31D88
0x3A2F	U+31D8B
0x3A30	U+31D8F
0x3A31	U+31D8D
0x3A32	U+31D98
0x3A33	U+31D93
0x3A34	U+31D94
0x3A35	U+31D96
0x3A37	U+31D95
0x3A38	U+31D99
0x3A39	U+31D9B
0x3A3C	U+31D9D
0x3A3F	U+31DA3
0x3A40	U+29828
0x3A41	U+31DA4
0x3A42	U+31DA5
0x3A43	U+31D9F
0x3A44	U+31DA2
0x3A45	U+25893
0x3A46	U+31DAA
0x3A47	U+31DA9
0x3A48	U+31DAB
0x3A4A	U+31DAE
0x3A4B	U+31DB0
0x3A4C	U+31DB4
0x3A4D	U+31DB9
0x3A4E	U+30A4B
0x3A4F	U+31DBA
0x3A50	U+31DBC
0x3A51	U+31DBD
0x3A52	U+31DC1
0x3A54	U+31DCA
0x3A55	U+31DC7
0x3A56	U+31DCD
0x3A57	U+31DCC
0x3A5A	U+259DD
0x3A5B	U+31DCF
0x3A5C	U+31DD0
0x3A5D	U+31DD5
0x3A5E	U+31DD6
0x3A60	U+31DD3
0x3A61	U+31DD4
0x3A62	U+31DD8
0x3A63	U+31DDB
0x3A64	U+31DDA
0x3A65	U+31DDD
0x3A66	U+31DE0
0x3A67	U+31DDE
0x3A68	U+31DDF
0x3A69	U+31DE1
0x3A6A	U+31DE2
0x3A6B	U+25A53
0x3A6C	U+31DE4
0x3A6D	U+31DE6
0x3A6E	U+31DE7
0x3A6F	U+31DEB
0x3A70	U+31DE9
0x3A71	U+31DEA
0x3A72	U+31DED
0x3A73	U+31DF1
0x3A74	U+31DFC
0x3A75	U+31E29
0x3A76	U+31E2E
0x3A77	U+31E38
0x3A78	U+6C23
0x3A79	U+31E42
0x3A7A	U+31E3F
0x3A7B	U+31E47
0x3A7C	U+31E48
0x3A7D	U+31E45
0x3A7E	U+31E4C
0x3B21	U+31E53
0x3B22	U+31E59
0x3B23	U+31E5C
0x3B24	U+31E5D
0x3B26	U+31E5F
0x3B27	U+31E60
0x3B28	U+31E61
0x3B29	U+31E63
0x3B2A	U+31E68
0x3B2B	U+31E6C
0x3B2C	U+31E78
0x3B2D	U+31E7E
0x3B2E	U+31E8B
0x3B2F	U+31E8C
0x3B30	U+31EBC
0x3B31	U+31EBD
0x3B32	U+31EBE
0x3B33	U+31EC1
0x3B34	U+31EC0
0x3B35	U+31EBF
0x3B36	U+31EC2
0x3B37	U+31ED1
0x3B38	U+31ED2
0x3B39	U+31ED3
0x3B3A	U+31ED5
0x3B3B	U+31ED7
